DeviceTimeStamp,WL1,WL2,WL3,VAL1,VAL2,VAL3,RVAL1,RVAL2,RVAL3
2019-06-25T13:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T10:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27T11:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
