LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,RICE,TONNE_HA,1990,5.374114281585141
AUS,RICE,TONNE_HA,1991,5.8977528032450195
AUS,RICE,TONNE_HA,1992,5.90314960263769
AUS,RICE,TONNE_HA,1993,5.22131147228378
AUS,RICE,TONNE_HA,1994,5.45757575391814
AUS,RICE,TONNE_HA,1995,5.92499999537109
AUS,RICE,TONNE_HA,1996,4.257046978223681
AUS,RICE,TONNE_HA,1997,5.54518071996132
AUS,RICE,TONNE_HA,1998,6.27073943220371
AUS,RICE,TONNE_HA,1999,5.92401315399736
AUS,RICE,TONNE_HA,2000,5.50651127720135
AUS,RICE,TONNE_HA,2001,6.19141807777524
AUS,RICE,TONNE_HA,2002,5.52127777394356
AUS,RICE,TONNE_HA,2003,6.3801964926196595
AUS,RICE,TONNE_HA,2004,5.55599397159189
AUS,RICE,TONNE_HA,2005,4.41496672721686
AUS,RICE,TONNE_HA,2006,6.556217518082139
AUS,RICE,TONNE_HA,2007,5.436049972819751
AUS,RICE,TONNE_HA,2008,5.5583336585188095
AUS,RICE,TONNE_HA,2009,5.64345279895117
AUS,RICE,TONNE_HA,2010,6.940943618168331
AUS,RICE,TONNE_HA,2011,6.34527630744043
AUS,RICE,TONNE_HA,2012,5.94348084692813
AUS,RICE,TONNE_HA,2013,6.8529822984947195
AUS,RICE,TONNE_HA,2014,7.28364000003132
AUS,RICE,TONNE_HA,2015,6.61053824324535
AUS,RICE,TONNE_HA,2016,7.2673260867930995
AUS,RICE,TONNE_HA,2017,6.79159349284963
AUS,RICE,TONNE_HA,2018,6.859756584131429
AUS,RICE,TONNE_HA,2019,6.92819232046787
AUS,RICE,TONNE_HA,2020,6.99818681781644
AUS,RICE,TONNE_HA,2021,7.06702921247247
AUS,RICE,TONNE_HA,2022,7.136389386711871
AUS,RICE,TONNE_HA,2023,7.20534883589115
AUS,RICE,TONNE_HA,2024,7.274323065603991
AUS,RICE,TONNE_HA,2025,7.3434959358147
AUS,RICE,TONNE_HA,2026,7.41240144302112
AUS,WHEAT,TONNE_HA,1990,1.6344040528781998
AUS,WHEAT,TONNE_HA,1991,1.4697201726093603
AUS,WHEAT,TONNE_HA,1992,1.78114803623225
