Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ethiopia,ETH,231600,263100,288500,309200,268700,244300,288000,226100,185800,197400,242900,327600,335300,357500,398800,471200,527500,594100,592600,650800,620300,635600,756400,752000,716400,749900,743000,772300,789900,861400,944595,1027528,1103184,1117329,1403293,1667316,1720306,2290179,2715017,2914056,3347022,4440917.691,5001121.865,5671501,6274582,7074779,8242114,9566378,11501244,12631216,
European Union,EUU,47767900,52648900,58293200,62913900,64977900,67971100,73633200,79541900,86861500,93006700,93554600,96063300,98607500,101810300,106237300,112309600,114465700,125896200,136470700,147372400,157891000,150528000,164292000,169958600,182625300,193536844.1,213329200,235129900,245065100,266190600,288449342,286388891,287161373,317807082,347767674,359471494,390742949,425646377,427781328,419908189,442721426.2,468821255.3,465108860,471018726.1,490844607.8,529467494,565289154,605233486,640084500.3,698301861.6,
Fragile and conflict affected situations,FCS,4293500,4830800,5380800,6018800,6572200,7788200,9502900,10807400,11927200,13205700,14837000,15712200,16017600,16043200,14980500,15865300,16248900,16401100,18787400,19902300,17088600,16231400,17593100,16217900,14996700,13358800,13802500,13296600,12772700,13639900,13502631,18387267,16020314,13118706,16210854,16538371,18968927,20413907,20595246,20141732,30729212.05,35642146.31,34829096.63,35374395.6,37604995.27,36416100,36167874,37088378.05,43371036.44,40595810.12,
Finland,FIN,1279500,1394800,1535800,1697500,1884600,2048300,2040400,1836300,1993400,2345800,2512200,2751100,2815100,2797300,2991300,3153300,2987800,3626100,4009900,4299500,4450200,3998700,3898400,3947500,4492000,5211900,5597500,6002300,6771100,6241600,6828143,6697556,6415606,6183906,7049416,7075195,7597125,8288683,7916485,7423265,8685772.868,9508050,10731828.49,10467321,10992792,13035848,13754228,12209646,13364839,14610547,
Fiji,FJI,,,,257100,296200,300000,313000,305000,280000,310000,322000,319300,330000,309300,324800,320200,313400,309700,382000,458800,433400,413700,426000,424200,464600,494500,479600,516900,516200,549800,586043,612727,715000,972000,836719,870571,932394,960546,946138,1146591,1259009,1276205.48,1225268.562,1161936,1243824,1336976,1402765,1557876,1670216,1700293,
France,FRA,9108000,9569200,11285100,11957500,12159300,13112800,14301900,15431300,16821200,17967000,19521000,21591200,22372400,23278100,23694300,24491900,25211400,27950200,30667300,33975500,35963900,33127800,33963900,35625600,38170400,36020400,41252600,43400700,42232400,49536300,52581312,50476541,49305864,47258820,48543473,52477178,59537872,61551258,61214656,58318312,60864422.11,64185339.34,64683769.02,63925151,63434263,65039503,65362743,68316473,70188028,71289277,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,120200,125500,122800,130300,136200,139700,190400,176700,170000,175000,331100,340000,421000,428300,436100,456000,459500,393100,382800,406700,398300,436000,471400,302300,505200,508200,431300,468500,466700,423100,446688,373904,365877,385529,430873,465343,508368,535324,545640,524867,243635.529,121233.3957,42729.31947,0,,137331,77320,,,,
United Kingdom,GBR,15568800,15796000,17308500,18959700,18062600,18074900,19472900,19484500,23186100,25312100,25551200,24578700,23872500,23376200,25825700,28229400,29373100,33705300,37573100,46354400,47113600,42861200,47819400,50187900,55475500,59688800,64208500,62763200,61940200,65738296,70436030,70331725,72381196,76388660,86054762,93602879,97544631,101622807,104713553,102464509,101515720.2,111598546.1,115419920.6,118605866,124901676.1,131512994,143781714,151159067,165388610,142392528,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,169600,176900,152400,110500,110100,158600,117521,110800,246609,303802,228560,249131,271553,304139,310222,294400,164446,222630,178363,189316,196589,232263,220448,341751,516034,615327.8053,
Ghana,GHA,116700,135600,131700,135600,148200,153800,233500,248800,309700,330400,279000,288800,230000,271400,261000,252600,247900,224400,247800,231900,188100,191700,206000,152400,182500,185900,197200,210600,209800,304100,314335,301135,255630,241111,96444,,,,,,169030.9496,491583.0344,691271.9614,396372,407544,390457,359516,681691,467624,597343,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,48900,49000,51000,54500,56900,65000,65000,66000,71000,72000,80000,128000,131000,129200,132000,136000,25700,30400,26600,39700,41300,42200,23300,24200,45000,35000,36300,36300,36100,58500,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11284,146784,151776,3036,44330,53735,104891.3948,109542.1451,
Guinea-Bissau,GNB,,,,,,,,,20000,20000,22200,22200,20600,21000,21900,22500,19500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20400,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,,8500,9000,9500,10000,10500,11000,12000,12000,13000,13300,13300,13300,13300,13400,13700,13700,13700,27600,14000,14000,14000,14000,14000,14000,14700,14700,20900,20800,,,,,,,,,,,,25969.38236,130197.6,316620.85,401712,303024,400758,458222,496322,404301.328,420832.2563,
Greece,GRC,1614700,2021400,2412600,2802600,2304600,2832600,3541000,3883900,4670500,5021100,4891300,4900700,5633900,5811800,6878400,7456600,6479500,6567600,6659700,6632000,6134600,4937000,5465500,5478100,5812900,6006000,6396000,7060800,6403400,6590700,7937434,8430333,7579225,7518932,9276954,9452219,9481314,10206223,9442743,8795133,10352657.53,9569211.419,8785275.456,8761116,11152236,11237054,12689082,13852857,15125933.52,16124738.33,
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,112500,101100,98000,43000,88800,113500,119000,137800,136300,156300,118900,124400,114600,99500,124000,108400,103100,114800,98900,110200,156000,165000,230000,240000,252000,300000,300000,508400,506400,,,,,,,,,,,,313892,326146.2062,288013.9008,78264,69768,93129,111830,155524,145795,107350,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255510,1172372,,,,,,,,,,,
Guyana,GUY,17800,18700,19000,20000,22000,24000,26000,27000,27000,27500,27500,81500,93000,93000,100000,104000,122500,128500,135200,143000,145700,111900,115300,115300,115300,121100,126000,126000,125500,70400,73256,47800,,,,,,,,,273160,340267.6232,247780.3477,0,0,,,,26069,28697,
High income,HIC,271999292,291581204,321224208,350404700,363051100,365863000,395931096,430031892,483598204,544782200,531308388,524014200,533203708,560080796,600450088,645265604,695992796,748878304,787572012,815005900,850382016,831073304,878777892,899281716,976116504,1028741040,1108689204,1163688292,1178541980,1268745700,1361424743,1313774006,1284682645,1311380520,1456687072,1500215352,1552509961,1624610874,1593438381,1582075701,1753389085,1809227213,1836103248,1896809765,1974848635,2094107437,2214133910,2322860993,2436150683,2524656719,
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957200,12254000,12592600,14377973,14064286,15636216,13024791,17892816,20229512,21796158,24133664,25401266,23973030,28347688,30293677,32247332.08,34644497,37933773,41867157,43683583,45580297,47101822,46469864,
Honduras,HND,295600,269900,240600,280400,315800,298600,288700,324400,359800,414200,507800,410600,377000,435900,439500,451000,319600,425500,482300,573900,609700,447300,437500,602200,,,,,,,,,,,,,,,,,501520,423655.3256,422016.8876,372972,239124,276689,275587,248964,411989,245079.131,
Heavily indebted poor countries (HIPC),HPC,3070800,3354500,3415000,3636500,4026800,4387200,5101500,5193400,5664300,6468300,6969100,7255200,7394400,7618200,7991800,7460400,7178000,7293000,7551600,7301700,7434000,6618700,6719700,6433300,6139600,6114500,6751600,6925200,6968200,6849500,6492929,5967306,,,,,,,,,14165092.23,17296028.46,18073364.03,18079383.82,19361000.32,20661772,20915140,23844385.43,26411525.91,27243663.84,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,113400,215100,432200,624000,644.1,727200,767200,920000,926000,1072000,1245000,1356000,1582000,1743000,2099000,2148000,1545318,1752603,1679197,1577226,1812519,1872799,1716702,1756070,1782666,1875433,2057804,2093577,2108591,
Haiti,HTI,10400,10600,11000,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,282300,268200,266300,330000,456500,414100,427200,555000,659000,830200,874300,1017000,1020700,957300,1038500,1116100,1150600,1231400,1176400,1316300,1363100,910700,1029100,1216900,1325400,1310900,1563400,1634700,1749200,1943500,2197521,2023385,2098760,2260849,2546234,2735214,2591666,3133574,3111575,2952885,12477063.18,13729553.53,12289555.08,13926540,16482060,20043787,21399963,26066294,31226848,39803373,
IBRD only,IBD,,,,,52352500,60085100,67797700,74812800,82444600,92881800,98659800,104454800,108500000,111353700,118298600,123830100,132691000,142224500,151720400,154335800,159562400,288238700,249287400,227755500,242797500,260412144.1,269421600,278907900,276766600,281964600,302077954,331479712,334877312,346454377,421250768,457746406,506432777,571342851,602329034,654666498,850497494.1,948977935.3,1030743896,1123867191,1223688739,1342229140,1461070125,1619971597,1769305160,1839386710,
IDA & IBRD total,IBT,,,,,59678800,68595200,78110700,85566200,94555100,106151600,113445800,120366700,124715400,128029500,135519400,141561300,150415200,159896300,170496100,172706400,178700100,306448300,271850700,249315900,264620500,281495744.1,290119200,300379900,298474600,303852900,323854019,353461238,354836889,366713422,444743421,482971713,533670988,599627079,631333677,683927328,891956142.2,997808123.8,1080347427,1174597729,1276673084,1396421827,1517531639,1680834868,1840061201,1908548821,
IDA total,IDA,5585100,5762600,5576700,6893700,7326300,8510100,10313000,10753400,12110500,13269800,14786000,15911900,16215400,16675800,17220800,17731200,17724200,17671800,18775700,18370600,19137700,18209600,22563300,21560400,21823000,21083600,20697600,21472000,21708000,21888300,21776065,21981526,19959577,20259045,23492653,25225307,27238211,28284228,29004643,29260830,41458648.08,48830188.45,49603530.74,50730538.39,52984344.99,54192687,56461514,60863270.63,70756041.17,69162110.57,
IDA blend,IDB,2069400,1959100,1628700,2327100,2448700,3366700,4343400,4867000,5827800,6194900,7325200,7956400,8093800,8386100,8575100,9542000,9379300,9227600,9376900,9437900,9605300,9634000,13830900,11732700,12197100,11674500,10788200,11784100,11596400,12221200,12058275,12976878,10439111,10669835,11971594,13181865,14641094,14980619,15375119,14965530,20774321.43,23867830.73,24663522.39,24098238.09,24165927.34,24997482,25950100,24353773,28749421.06,29208297.01,
Indonesia,IDN,826400,994500,1286800,1787400,2219700,2527500,3103200,3781300,4431100,4656100,5059100,6098100,6028700,5567500,6494300,6468100,7115400,7568900,8823700,8983400,9223100,10401800,11176800,12009000,13924500,15977200,17138800,12650200,12613600,8046800,9916365,12453812,12113452,12221066,26780550,26835524,29867483,30405918,29766093,27421235,59384361.61,70912258.11,79405799.81,81721356,85215879.51,90095131,99274010,108393123,115154100.9,91323153,
IDA only,IDX,3515700,3803500,3948000,4566600,4877600,5143400,5969600,5886400,6282700,7074900,7460800,7955500,8121600,8289700,8645700,8189200,8344900,8444200,9398800,8932700,9532400,8575600,8732400,9827700,9625900,9409100,9909400,9687900,10111600,9667100,9717790,9004648,9520466,9589210,11521059,12043442,12597117,13303609,13629524,,20684326.65,24962357.72,24940008.35,26632300.3,28818417.64,29195205,30511414,36509497.63,42006620.12,39953813.56,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,2671600,2554000,3285800,3391600,3037300,3839900,4534000,5147500,6099600,6546800,6603100,7574500,8391700,9164800,10125700,10993800,11785200,12668600,12863100,12740100,10862200,10717400,11127100,9441600,11518400,14260600,13394600,16039800,16521000,16005400,17299483,16862737,17633019,19455085,23934074,27879461,40288794,51897450,49877935,54446373,64374253.8,73996912,72151828.89,75589071,82718882.88,98927860,119577835,139752424,164035637.5,167499116,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,1476300,1544200,1408800,1496300,1474600,1475700,1578100,1675600,1781300,2022500,1830200,1978600,1949100,1780800,1838500,1828800,1972000,2279000,3675600,4376300,4812300,4764600,5006000,4650400,4825700,6586500,7676800,8963700,10401200,11948800,13983022,15450847,19728801,28863657,34748853,42872544,50737809,60099058,69447262,77747207,84784226,89956333.51,92637189.19,93408036,98449140,115928738,134065078,153944513,167598633,170161848,
"Iran, Islamic Rep.",IRN,715600,761400,894800,1141600,1361900,1949400,2499100,3005400,3333500,2168700,1998100,1539700,2127800,3190900,4087800,3422000,4670600,4846900,4486800,4882600,5632600,5537500,4895600,5351800,5803500,6290600,7609600,9804100,9200400,8277300,8722145,16485326,9891522,16301238,11877705,12708354,13623038,13915755,12029236,13052716,18760850.38,19113946.16,17687478.52,16580818.01,16825260.83,13873256,17084581,26858178.78,23029380,21641449.39,
Iraq,IRQ,197700,235600,186200,208800,290900,387600,568000,672400,675300,687800,619900,457000,480600,454000,435000,540000,535000,535000,1113000,1160800,701600,27700,53000,,31500,,,,,,,,,,,,,,,,641129,761778.1744,784944.253,476484,476484,2142554,2019816,1591490.01,4812610,2717146,
Iceland,ISL,457900,494100,545800,592800,611200,590200,601500,645000,688000,694000,541500,522100,574300,601400,710100,778000,808400,910100,844700,735900,759500,772600,767100,801000,1031200,1097000,1239100,1334400,1592700,1350200,1431818,1357946,1198920,1133775,1332811,1528929,1536157,1720496,1423422,1364651,1851416.842,2150527,2400160,2602714,3035882.779,4134980,5710834,7242611,7819740.56,4656017,
Israel,ISR,485000,1057400,1137100,1163500,1214300,1053700,1299800,1454100,1519700,1584000,1483300,1585200,1480800,1578700,1669400,1802700,1828600,2009700,1894600,2118000,2004000,2047500,2391200,2569400,2980400,3453400,3694600,3753600,3698500,4033200,4442967,3967140,3708138,3677879,4968931,4392448,4357151,4662615,4563041,4605452,5084798,5151469,5381980,5565864,5886728,6331198,6866472,6993888,7404373,6659838.31,
Italy,ITA,6743700,7644100,7462200,8189900,8631400,8360600,8238100,9424100,9507000,9462500,9955800,10493300,11611000,11996600,12593600,14408000,13811100,15268100,15649200,17437700,19750000,18846800,21766700,21901400,22959300,23665800,25838500,28183900,27462700,28281000,30418137,31031074,28244627,36345771,35922093,36115764,36709131,37830745,30672048,33194501,32645164,33923370.51,31072962.16,27846220,27193939,28603919,29120041,26288001,27243741,27760301,
Jamaica,JAM,278700,425400,554900,568500,743300,696800,706500,601800,705900,795300,722700,727800,729600,716300,826000,887600,1058600,1257500,1188700,1210800,1003600,894000,983200,1037800,1011000,1126400,1388300,1400100,1453900,1669800,1922123,1946123,2016000,1838047,2007765,1573785,1526571,1618165,1644056,1380000,0,0,0,46272,76244,92836,136744,151326,180951.272,,
Jordan,JOR,118800,119600,119900,162300,243400,379900,475500,557300,728400,914300,1112600,1443300,1667300,1457300,1327600,1310200,1132000,1178000,1225900,1204000,963900,797200,1109300,1185600,1219500,1270000,1299200,1353400,1186700,1252200,1281997,1178058,1299699,1353444,1660235,1737165,2046457,2246212,2355285,2323750,3077036.696,3267109.736,3438356,3294911,3211795,3065145,3181283,3381677,3383805,3478444,
Japan,JPN,16315100,17880500,20169500,25393100,27485700,27281400,29566000,36177400,40554700,45367800,45144500,48061200,46394200,46554000,50452800,51294700,52489800,57757700,62087500,69321696,76223800,78719800,81378400,80063904,83913504,91797000,95913504,94997600,101701200,105994496,109123312,107823469,109037841,103988547,101740600,102279015,102845319,99842338,97022471,86896527,109617021,89788818,98907859,107573000,110547000,114128000,117708000,123898000,126387527,130233352,
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,5273400,706400,702300,1117300,568000,568000,565800,467200,461283,500981,756959,1009731,834760,1160286,1283250,1295050,1275624,1192714,3098327,3786453.064,4064819.023,4785588,4918608,5081632,5007869,6903190,5920110,6800111,
Kenya,KEN,171500,188000,216800,340800,382800,361500,449600,237300,363300,377400,392500,408700,391300,435500,479200,558700,611300,655800,720900,760500,794400,759900,721400,769500,753500,740400,778600,835700,1138400,1357800,1554949,1418183,1599843,1678160,2005473,2424382,2685148,2857464,2880546,2948920,4039583,4508698.012,4653459.735,4516500,4448530.528,4569473,4848016,5109576,5905365.123,6417534.056,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,464000,464000,438700,488200,423000,620100,312100,240954,192060,174369,205604,245570,225923,219464,274981,204525,309488,375602,526018.0125,494640.4268,771165,712284,967629,1015750,1122951,1175000.704,874326,
Cambodia,KHM,40500,107000,136200,140000,129000,112500,112500,112500,,,,,,,,,,,,,,,,,,,,,,,,,124847,164515,162132,168810,256160,307782,211281,183503,277725.0543,499981.518,508688.5094,615123.328,1071179,1103880,1047394,1305297,1411059,1429503.73,
Kiribati,KIR,,,,,,,,,,,,59000,60000,60000,65500,26400,32000,24900,24000,24900,24900,24900,25400,25600,25600,26900,28400,28400,28300,,,,,,,,,,,,,,,,,,,66567,66567,65846.852,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,1208100,1463600,1640000,2213400,1923800,2046700,2075200,2466500,3099800,3725900,3566600,4186700,4201500,4861500,5353300,6202500,7211400,8330900,9826000,13160800,15684500,16908000,19766900,21425900,24932300,29345200,33002700,35505800,27109000,30870200,34331368,33710340,34831814,33372577,34511494,33888328,34842655,36655313,36077655,34168590,36987982,39911749.59,39969577.02,54530105,58289180,66093149,76859538,82818983,88157579,92434079,
Kuwait,KWT,315200,342200,390700,453600,517900,624800,737000,812300,849500,965100,1076200,1252500,1460700,1534500,1497900,1449200,1465700,1511100,1557300,1640600,965600,840100,1408600,1553800,1756200,1950800,2133400,2113900,2240800,2130000,2112523,2084574,2299218,2185990,2496441,2433213,2627870,2659769,2523966,2597076,4563082,3722729.503,3481039,3244805,3530851,3752995,4069935,5731748,6464847,7385299,
Latin America & Caribbean (excluding high income),LAC,15309100,16221900,18362100,19932800,23338700,26591400,29501700,31872900,35398800,40941100,44275500,43379100,44101800,45091900,46268800,47473500,50588300,51188300,48560200,51734600,53506300,52311900,52316200,55325000,61662500,61056200,65666200,73303600,77885600,78956200,81854501,81867726,81964755,81085205,87141018,93115390,95816180,103841513,116271617,123930038,158357125.8,174395052.6,191682898.9,208956931.5,221642902.2,237567474,239723192,249448786.4,266449596.8,277418454.7,
Lao PDR,LAO,55900,42000,43000,44500,45000,45000,45000,30000,12000,13000,13000,14500,14700,14000,15700,15800,24500,45000,47500,49600,115400,115400,118500,118500,118500,124500,124500,124500,124100,197200,210847,210847,219598,218652,271706,293442,326730,328326,323401,302596,443778,532707,877949.8814,1476528,1310124,1181188,1220201,1196041,1009414,979307,
Lebanon,LBN,548600,648000,743800,819000,1037300,900000,1050000,928500,862900,904000,930300,843800,571000,695800,410700,501300,498700,353300,493200,182600,572300,535500,599600,677400,706400,769800,774600,856900,716000,719400,805803,815862,874152,935213,1086730,1076258,968820,1074219,1067774,1308382,1893359,2029610,2148669,2241480,2419476,2591297,2647258,2879528,2981937,3164358,
Liberia,LBR,,,,,25000,25500,26000,27000,29000,9400,10600,30400,40900,44000,50000,42000,42000,44000,45700,46300,33700,32000,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,190200,259400,327200,352000,408000,558000,669900,801900,890600,913800,1168800,1486000,1557800,1860000,1583800,1579300,1382900,1515100,1581200,1617000,1803000,1883700,1350100,853000,640800,623200,638600,570600,570600,585500,600734,582712,559404,626532,850185,0,1151785,1204107,1213854,1147234,2928705.68,2284066.501,1398125.134,2744844,2391856,1430460,1283181,1186424,1442576,1367458,
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,17717500,18809300,21078700,22821000,26532900,30649500,33989400,37141200,41000200,47754900,51822900,52315700,53473200,53517600,54487400,56286100,60548200,61892400,61535800,66610700,65165400,64136600,64903900,68207800,73894400,72889000,77252200,85239100,90079300,93629700,96507566,101576743,97945064,94799825,100859199,107537262,110439889,120106257,133677728,140453020,178418790.8,198178802.3,217297987.7,234290843.1,248819233,264217989,266690030,275641368.4,293327220.8,305099527.7,
Least developed countries: UN classification,LDC,2730800,3045500,3129100,3816800,3969800,4109300,4915900,4914900,5137300,6108400,6523600,6950300,7329400,7433800,7539900,7459300,7562300,7675100,8589300,7631200,7986900,7201900,7366700,7251300,7794000,7350100,7686300,7640300,7741700,7631800,7690574,7544406,7533065,7643563,9205839,9963958,10582532,11015971,11256036,11769610,18083757.29,21798105.78,22619178.96,25019675.15,25990551.47,25697166,27094160,32834897.63,38813584.41,37021082.49,
Low income,LIC,1820500,2007800,1941900,1977700,2251600,2477200,3120300,3254700,3354900,3672900,3956500,4210100,4264500,4339700,4383100,3995300,4185700,4185700,4318400,4345400,4712200,4151500,4459600,4416500,4535400,4203400,4500900,4498300,4544500,4659500,4776260,4640077,,,,,,,,,11761536.13,14168273.54,13737452.86,14815345,14719339.16,12867667,13753911,15919522.08,17823482.47,18715242.2,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,104600,116000,116000,108500,107700,117300,127700,181000,100000,105300,235000,405200,572700,616500,681300,698600,611400,586900,694300,744500,891800,892700,1045600,993800,1066800,1155700,1170700,1231900,1212500,1421500,1755567,1718331,1740807,1957606,2412889,2817778,3100832,3206766,2951506,2417713,3008322.692,3665394,4616417,4793393.4,4756131,4911730,5284585,5403577,5882376,5582446,
Lower middle income,LMC,14146800,13828400,14948900,17301000,18433100,21875700,25420000,29007800,33284800,35025400,36968200,40233900,42789900,45727300,49686100,51542100,53088200,55498000,58594300,59127200,58443200,58350100,70712500,66565400,72614700,79546500,81709600,84396300,82697100,75595700,80713568,92091011,84160922,93191967,114547801,123206707,142223883,157930225,159838914,164958473,242592321.5,277010278.3,289944155.6,298197940,325085167,354631230,403099557,451715655.7,497639888.3,485852079.6,
Low & middle income,LMY,,,,,56112600,64058300,73133900,79736800,88449100,98846700,105431200,111458200,115611200,120020600,127389400,132966000,140810600,149505700,157940200,158104100,167747800,295359700,259509400,236169600,251850100,269705600,277787100,287395600,284683200,288820600,308344969,332003774,336352773,350038834,427064325,464332419,514678364,579030330,609013383,662531836,868444010.2,969998335.8,1050213214,1144598528,1244554029,1365284976,1484942512,1646720312,1804079431,1870492239,
Lesotho,LSO,,,,,10000,10000,11000,11000,40000,52000,36300,36600,54800,61000,48700,50700,55300,60900,63000,53300,56000,56000,26100,20500,26600,24800,17100,10500,28200,1300,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,,,,,24637200,27412300,30153500,32162100,35456000,40432600,42895300,45741200,48636300,48639000,51251500,55201400,63012500,68463800,76750800,76969300,84784000,218048600,169668800,149063500,156855000,173392100,178597200,184906800,187098700,199593400,216639000,237815480,258940139,271040893,331760561,347642313,384756400,444476143,485748645,572829124,685670532.1,761255355.4,830069110.5,907272787.7,985686600.9,1088963002,1190947049,1323673354,1434010524,1522692336,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,557200,149700,194500,209900,214000,236800,258900,249600,283836,304051,303865,329271,447883,505409,429657,423585,609847,616514,81450,69445,592996,1009728,1274911,1363946,1046012,1069268,26031,40610,
Luxembourg,LUX,167000,250000,211300,218100,220600,230000,250000,260000,290000,300000,161500,163200,203700,224100,243200,239400,247700,272900,293900,296000,409300,405700,460600,470500,532500,569700,639100,559800,701400,842700,870831,885852,822533,853903,855840,851136,927738,1039067,1059848,681482,786920,785200,781146,1555788,1710624,1830972,1845726,1901012,2099102,2114417,
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,65700,111200,167000,173000,275900,229100,229100,196200,278396,255392,264991,339747,593662,1032128,1409620,1344912,1371810,1301848,3158051,3299391,2888683,2754720,2636612.759,2527368,2843133,3441024,4058762,4976410,
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532189,1706332,1728004,1211797,1800237,2040654,2285750,2393294,1866141,1427324,1329721,1327732,1561850,1767100,2078758,2276436,2788571,2776815,3157724,3659911,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,289500,362000,410300,486500,509600,672900,808900,1047200,1131700,1153800,947400,929600,974100,932200,1000700,1113900,1095500,1187400,1267300,1360800,1580000,1429700,2169000,2139600,2183900,2147200,2301200,2638400,3012000,3392100,3671317,3680688,3049154,2638314,3004353,3492984,4109489,4623543,4927341,4930683,7144446,7502696.745,6563646.676,6507408,6976810,7043971,7738637,8667392,8132917,9380951,
Monaco,MCO,,,,,,,,,,,44000,44000,44000,44000,73200,73800,37500,40000,40000,42500,42500,42500,44000,44000,44000,44000,44000,44000,43800,75200,82764,77798,104255,94563,83916,87523,95721,101753,84660,63876,59658,63186,65404.36364,64524,64188,60382,12137,316,316,316,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,571100,312300,312300,169500,190000,46400,118000,43000,117532,120125,129377,179084,200615,231985,273810,314361,401199,402423,479457,540679,543872,557653,692496,1005936,936254,1092606,1423791,1408166,
Madagascar,MDG,168000,197700,201100,217800,230700,203100,262000,292200,335800,407500,447700,444900,410200,347300,360000,350800,355900,410600,387000,342400,424200,314300,343900,418500,450700,497200,542100,574900,600500,639800,629409,657953,266033,451729,513508,574904,572991,616433,558981,499526,524296,544100.7273,588169,539208,520421,458572,441861,486425,541290,544458,
Maldives,MDV,,,,,,7000,10000,13000,20000,25000,27000,33800,34000,38000,40000,60000,65000,8400,8400,8400,9400,9400,9400,9400,38500,158600,206900,188900,247200,261100,315108,56216,57902,60218,75875,81945,93417,92483,91096,85448,,,,,1024693.845,1313533,1409704,1485752,1191383.083,1221786.675,
Middle East & North Africa,MEA,5302800,6428900,7528900,8687900,10597800,13016800,16872300,20259300,23545300,25387900,27858700,28680800,30856600,33496000,35296900,34822500,34087200,35611400,36641600,38333400,38928000,36420700,41137700,42087100,45080700,45976000,49613000,53725800,53713700,56424000,59654534,67991058,64355768,73216604,78560904,61431744,66638675,71222974,71070884,114274202,151073013.6,160271708.8,175337423.6,188897689.1,204902736.9,217000211,239193056,257942310.8,264706357.9,264891892.9,
Mexico,MEX,2966600,3107300,3962000,4589600,5501500,6522900,7675700,8238200,9387700,11381500,12889800,13853300,12777300,13923500,14440200,15364400,13824500,13504900,11412300,12689000,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909408.72,35986501.82,39570522,46966763,53313307,58537832,64569640,69937838,
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,32000,33800,36300,66400,66300,96000,43500,41900,45800,41300,33100,32000,33100,16109,18805,24592,27471,28970,25789,30232,29980,29530,27692,,,,,,,,22435,24313,21500,
Middle income,MIC,,,,,53861000,61581100,70013600,76482100,85094200,95173800,101474700,107248100,111346700,115680900,123006300,128970700,136624900,145320000,153621800,153758700,163035600,291208200,255049800,231753100,247314700,265502200,273286200,282897300,280138700,284161100,303568709,327363697,332200014,345724905,421849936,458543191,508659021,572214366,601803110,655205066,856682474.1,955830062.3,1036475761,1129783183,1229834690,1352417309,1471188601,1630800790,1786255949,1851776997,
